date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:08:44	1664/1664	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22598dc689-680%22	https://sequencediagram.org/assets/save.svg	C:/My%20Web%20Sites/SequenceDiagram/sequencediagram.org/assets/save.svg	(from https://sequencediagram.org/)
17:08:44	3076/3076	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22598dc689-c04%22	https://sequencediagram.org/assets/pnghq.svg	C:/My%20Web%20Sites/SequenceDiagram/sequencediagram.org/assets/pnghq.svg	(from https://sequencediagram.org/)
17:08:45	3263/3263	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22598dc689-cbf%22	https://sequencediagram.org/assets/jpglq.svg	C:/My%20Web%20Sites/SequenceDiagram/sequencediagram.org/assets/jpglq.svg	(from https://sequencediagram.org/)
17:08:45	2411/2411	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22598dc68a-96b%22	https://sequencediagram.org/assets/svg.svg	C:/My%20Web%20Sites/SequenceDiagram/sequencediagram.org/assets/svg.svg	(from https://sequencediagram.org/)
17:08:45	1346/1346	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22598dc68a-542%22	https://sequencediagram.org/assets/info.svg	C:/My%20Web%20Sites/SequenceDiagram/sequencediagram.org/assets/info.svg	(from https://sequencediagram.org/)
17:08:45	11423/11423	---MCZ	200	added ('OK')	text/plain	etag:W/%225bcced21-2c9f%22	https://sequencediagram.org/releasenotes.txt	C:/My%20Web%20Sites/SequenceDiagram/sequencediagram.org/releasenotes.txt	(from https://sequencediagram.org/)
17:08:45	57514/57514	---MCZ	200	added ('OK')	text/html	etag:W/%225ac93258-e0aa%22	https://sequencediagram.org/legacy651/index.html	C:/My%20Web%20Sites/SequenceDiagram/sequencediagram.org/legacy651/index.html	(from https://sequencediagram.org/)
17:08:45	45165/45165	---MCZ	200	added ('OK')	text/html	etag:W/%2259f0f9f7-b06d%22	https://sequencediagram.org/legacy502/index.html	C:/My%20Web%20Sites/SequenceDiagram/sequencediagram.org/legacy502/index.html	(from https://sequencediagram.org/)
17:08:46	43257/43257	---MCZ	200	added ('OK')	text/html	etag:W/%22598dc59a-a8f9%22	https://sequencediagram.org/legacy471/index.html	C:/My%20Web%20Sites/SequenceDiagram/sequencediagram.org/legacy471/index.html	(from https://sequencediagram.org/)
17:08:46	3939/3939	---M--	200	added ('OK')	image/png	etag:%22598dc689-f63%22	https://sequencediagram.org/assets/closeicon.png	C:/My%20Web%20Sites/SequenceDiagram/sequencediagram.org/assets/closeicon.png	(from https://sequencediagram.org/)
17:08:46	14997/14997	---M--	200	added ('OK')	image/png	etag:%225a947100-3a95%22	https://sequencediagram.org/instructionimages/largeexample.png	C:/My%20Web%20Sites/SequenceDiagram/sequencediagram.org/instructionimages/largeexample.png	(from https://sequencediagram.org/)
17:08:46	827/827	---M--	200	added ('OK')	image/png	etag:%2233b-5662389455308%22	https://sequencediagram.org/instructionimages/title.png	C:/My%20Web%20Sites/SequenceDiagram/sequencediagram.org/instructionimages/title.png	(from https://sequencediagram.org/)
17:08:47	606/606	---M--	200	added ('OK')	image/png	etag:%2225e-566238946b29c%22	https://sequencediagram.org/instructionimages/participant.png	C:/My%20Web%20Sites/SequenceDiagram/sequencediagram.org/instructionimages/participant.png	(from https://sequencediagram.org/)
17:08:47	713/713	---M--	200	added ('OK')	image/png	etag:%222c9-56623894a96c0%22	https://sequencediagram.org/instructionimages/actor.png	C:/My%20Web%20Sites/SequenceDiagram/sequencediagram.org/instructionimages/actor.png	(from https://sequencediagram.org/)
17:08:47	909/909	---M--	200	added ('OK')	image/png	etag:%2238d-56623894a295f%22	https://sequencediagram.org/instructionimages/boundary.png	C:/My%20Web%20Sites/SequenceDiagram/sequencediagram.org/instructionimages/boundary.png	(from https://sequencediagram.org/)
17:08:47	854/854	---M--	200	added ('OK')	image/png	etag:%22356-5662389496224%22	https://sequencediagram.org/instructionimages/control.png	C:/My%20Web%20Sites/SequenceDiagram/sequencediagram.org/instructionimages/control.png	(from https://sequencediagram.org/)
17:08:47	844/844	---M--	200	added ('OK')	image/png	etag:%2234c-566238949007b%22	https://sequencediagram.org/instructionimages/database.png	C:/My%20Web%20Sites/SequenceDiagram/sequencediagram.org/instructionimages/database.png	(from https://sequencediagram.org/)
